norder_skel, norder_smooth, ilam, adapt_flag, ifflatten, err_skel, err_smooth
  16,  16,   1,   0,   0,  0.71054E-14,  0.64393E-14
  16,  16,   2,   0,   0,  0.71054E-14,  0.59952E-14
  16,  16,   3,   0,   0,  0.71054E-14,  0.28186E-09
  16,  16,   1,   0,   1,  0.26645E-14,  0.13323E-14
  16,  16,   2,   0,   1,  0.26645E-14,  0.60618E-13
  16,  16,   3,   0,   1,  0.26645E-14,  0.84612E-11
  16,  16,   1,   1,   0,  0.71054E-14,  0.44409E-15
  16,  16,   2,   1,   0,  0.71054E-14,  0.24114E-12
  16,  16,   3,   1,   0,  0.71054E-14,  0.26322E-08
  16,  16,   1,   1,   1,  0.26645E-14,  0.15543E-14
  16,  16,   2,   1,   1,  0.26645E-14,  0.16600E-11
  16,  16,   3,   1,   1,  0.26645E-14,  0.93172E-08
   4,   4,   3,   2,   0,  0.50704E-09,  0.39133E-06
   4,   8,   3,   2,   0,  0.50704E-09,  0.14156E-06
   4,  12,   3,   2,   0,  0.50704E-09,  0.13793E-07
   4,  16,   3,   2,   0,  0.50704E-09,  0.10128E-06
   4,  20,   3,   2,   0,  0.50704E-09,  0.33883E-07
   8,   4,   3,   2,   0,  0.13323E-14,  0.19127E-06
   8,   8,   3,   2,   0,  0.13323E-14,  0.22217E-06
   8,  12,   3,   2,   0,  0.13323E-14,  0.31556E-07
   8,  16,   3,   2,   0,  0.13323E-14,  0.94215E-07
   8,  20,   3,   2,   0,  0.13323E-14,  0.38137E-07
  12,   4,   3,   2,   0,  0.88818E-15,  0.18042E-06
  12,   8,   3,   2,   0,  0.88818E-15,  0.21409E-06
  12,  12,   3,   2,   0,  0.88818E-15,  0.31487E-07
  12,  16,   3,   2,   0,  0.88818E-15,  0.94023E-07
  12,  20,   3,   2,   0,  0.88818E-15,  0.40282E-07
  16,   4,   3,   2,   0,  0.71054E-14,  0.18061E-06
  16,   8,   3,   2,   0,  0.71054E-14,  0.21401E-06
  16,  12,   3,   2,   0,  0.71054E-14,  0.31678E-07
  16,  16,   3,   2,   0,  0.71054E-14,  0.93868E-07
  16,  20,   3,   2,   0,  0.71054E-14,  0.40315E-07
  20,   4,   3,   2,   0,  0.13323E-14,  0.18061E-06
  20,   8,   3,   2,   0,  0.13323E-14,  0.21401E-06
  20,  12,   3,   2,   0,  0.13323E-14,  0.31680E-07
  20,  16,   3,   2,   0,  0.13323E-14,  0.93867E-07
  20,  20,   3,   2,   0,  0.13323E-14,  0.40317E-07
   4,   4,   2,   2,   0,  0.50704E-09,  0.57117E-06
   4,   8,   2,   2,   0,  0.50704E-09,  0.12537E-07
   4,  12,   2,   2,   0,  0.50704E-09,  0.34236E-09
   4,  16,   2,   2,   0,  0.50704E-09,  0.10716E-08
   4,  20,   2,   2,   0,  0.50704E-09,  0.67572E-09
   8,   4,   2,   2,   0,  0.13323E-14,  0.55808E-06
   8,   8,   2,   2,   0,  0.13323E-14,  0.12569E-07
   8,  12,   2,   2,   0,  0.13323E-14,  0.37791E-09
   8,  16,   2,   2,   0,  0.13323E-14,  0.10315E-08
   8,  20,   2,   2,   0,  0.13323E-14,  0.69132E-09
  12,   4,   2,   2,   0,  0.88818E-15,  0.55814E-06
  12,   8,   2,   2,   0,  0.88818E-15,  0.12564E-07
  12,  12,   2,   2,   0,  0.88818E-15,  0.37754E-09
  12,  16,   2,   2,   0,  0.88818E-15,  0.10316E-08
  12,  20,   2,   2,   0,  0.88818E-15,  0.69089E-09
  16,   4,   2,   2,   0,  0.71054E-14,  0.55814E-06
  16,   8,   2,   2,   0,  0.71054E-14,  0.12564E-07
  16,  12,   2,   2,   0,  0.71054E-14,  0.37754E-09
  16,  16,   2,   2,   0,  0.71054E-14,  0.10316E-08
  16,  20,   2,   2,   0,  0.71054E-14,  0.69089E-09
  20,   4,   2,   2,   0,  0.13323E-14,  0.55814E-06
  20,   8,   2,   2,   0,  0.13323E-14,  0.12564E-07
  20,  12,   2,   2,   0,  0.13323E-14,  0.37754E-09
  20,  16,   2,   2,   0,  0.13323E-14,  0.10316E-08
  20,  20,   2,   2,   0,  0.13323E-14,  0.69089E-09
   4,   4,   1,   2,   0,  0.50704E-09,  0.44753E-07
   4,   8,   1,   2,   0,  0.50704E-09,  0.55078E-10
   4,  12,   1,   2,   0,  0.50704E-09,  0.78382E-13
   4,  16,   1,   2,   0,  0.50704E-09,  0.44409E-15
   4,  20,   1,   2,   0,  0.50704E-09,  0.66613E-15
   8,   4,   1,   2,   0,  0.13323E-14,  0.44761E-07
   8,   8,   1,   2,   0,  0.13323E-14,  0.54895E-10
   8,  12,   1,   2,   0,  0.13323E-14,  0.76494E-13
   8,  16,   1,   2,   0,  0.13323E-14,  0.10880E-13
   8,  20,   1,   2,   0,  0.13323E-14,  0.13101E-13
  12,   4,   1,   2,   0,  0.88818E-15,  0.44761E-07
  12,   8,   1,   2,   0,  0.88818E-15,  0.54902E-10
  12,  12,   1,   2,   0,  0.88818E-15,  0.68390E-13
  12,  16,   1,   2,   0,  0.88818E-15,  0.46629E-14
  12,  20,   1,   2,   0,  0.88818E-15,  0.83267E-14
  16,   4,   1,   2,   0,  0.71054E-14,  0.44761E-07
  16,   8,   1,   2,   0,  0.71054E-14,  0.54901E-10
  16,  12,   1,   2,   0,  0.71054E-14,  0.67724E-13
  16,  16,   1,   2,   0,  0.71054E-14,  0.42188E-14
  16,  20,   1,   2,   0,  0.71054E-14,  0.86597E-14
